,Question,Target
0,make donald trump greatest president history,Insincere
1,different form electricity used,Sincere
2,area bounded curve x line x axis point intersection point rotated x axis formula volume,Sincere
3,kotlin language similar java,Sincere
4,u president hillary clinton laughed puerto rico said came saw died,Insincere
5,thinking different others,Sincere
6,remainder divided,Insincere
7,feel like replaced,Insincere
8,get touch girl seen year,Sincere
9,fuck kid spend time jail,Insincere
10,liberal cry baby,Insincere
11,beautiful middle east iranian levantine arab,Insincere
12,case human specie selection pressure weaker today,Insincere
13,possible make movie song offend people coerce political change,Sincere
14,determinant matrix basically listing permutation coefficient conserving order term system,Sincere
15,rapist europe muslim,Insincere
16,bit compare nit trichy b tech mech,Sincere
17,could thing gift guy husband meeting arranged parent first meeting talking since month,Sincere
18,initiation ritual latin king gang,Insincere
19,people really bad teeth bad taking care teeth,Insincere
20,kagome kiyoko reincarnation different people,Sincere
21,india still considered secular pm fanatic hindu report hindu extremist party r,Insincere
22,true amit shah ordered kill anyone writes negative case judge loya,Insincere
23,jew average spatial iq,Insincere
24,liberal realize region stricter gun control often higher level gun violence google,Insincere
25,evangelical christian like pedophile pedophile member republican party,Insincere
26,beat homeless people fun psychopath,Insincere
27,see stored icloud,Insincere
28,india save pakistan china,Insincere
29,italian italy hate black american italian refer derogatory term italian see black american le american get angry hear black american speaking english,Insincere
30,many indian girl lose virginity marriage,Insincere
31,chinese hate american built entire country city,Insincere
32,best place value money kolkata buying ceramic pot,Sincere
33,following polymer contain glucose unit,Sincere
34,ctmu critic imbecile crackpot know nothing,Insincere
35,much custom come import pair shoe detroit costed total,Insincere
36,french people resentful towards brit vice versa,Insincere
37,america punish southern conservative opposition proper education scientific advancement,Insincere
38,kind clothes like guy,Sincere
39,stop arrow key scrolling,Insincere
40,love turn people idiot please give love like love love perfect b know sugar coating love try hide,Insincere
41,asian people travel world like foreigner,Insincere
42,western technology democracy work shaitan,Insincere
43,child ever told something scared,Insincere
44,grab aunty boob p,Insincere
45,ever wrongfully accused rape sexual harassment,Insincere
46,many black america,Insincere
47,outside right finding peace star,Insincere
48,big deal tech giant run problem live demo,Sincere
49,perlite exist eutectoid composition ie c even hypoeutectoid range,Sincere
50,mean baby fast heartbeat,Sincere
51,mark required get ramk arround electrical branch,Sincere
52,businessman select financial intermediary prior business transaction,Sincere
53,manufacturing process airwalk snowboard,Sincere
54,much money need live exchange student bergen norway,Sincere
55,indian see today fake hindu ex muslim ancestry hence explaining modern indian phenomenal,Insincere
56,new zealand combat unit think work russian america took,Insincere
57,boy use girl sex,Insincere
58,meet cold,Sincere
59,people constantly trying break street date video game seem incredibly selfish childish,Insincere
60,chamarendar gay,Insincere
61,briton met russia speak ugly abracadabra call advanced language,Insincere
62,make sex year old say virginia,Insincere
63,american trade canada australia northern neighbor possible,Insincere
64,find qatari kuwaiti sponsor startup iran,Insincere
65,trump get fired excessive day golf excessive expense first year president thier entire term get fired bos american citizen,Insincere
66,true american men hate woman,Insincere
67,white people obsessed big lip black people white proud thin lip,Insincere
68,think sword art online movie,Sincere
69,u born muslim generally successful academically career uk born british muslim uk muslim backward today,Insincere
70,feel bad black woman,Insincere
71,international road pas north east india,Sincere
72,form government u k currently many year system,Sincere
73,college branch get score jee advanced,Sincere
74,salary package oracle india pvt ltd hyderabad,Sincere
75,vagina look like,Insincere
76,money making business idea start year,Sincere
77,odds nato state member ever leave alliance,Insincere
