,Actual,Prediction,TP,TN,FP,FN
0,Sincere,Insincere,0,0,0,1
1,Sincere,Sincere,1,0,0,0
2,Sincere,Sincere,1,0,0,0
3,Sincere,Sincere,1,0,0,0
4,Insincere,Insincere,0,1,0,0
5,Sincere,Sincere,1,0,0,0
6,Sincere,Insincere,0,0,0,1
7,Sincere,Insincere,0,0,0,1
8,Sincere,Insincere,0,0,0,1
9,Insincere,Insincere,0,1,0,0
10,Insincere,Insincere,0,1,0,0
11,Insincere,Insincere,0,1,0,0
12,Sincere,Insincere,0,0,0,1
13,Sincere,Sincere,1,0,0,0
14,Sincere,Sincere,1,0,0,0
15,Insincere,Insincere,0,1,0,0
16,Sincere,Sincere,1,0,0,0
17,Sincere,Sincere,1,0,0,0
18,Sincere,Insincere,0,0,0,1
19,Sincere,Insincere,0,0,0,1
20,Sincere,Sincere,1,0,0,0
21,Insincere,Insincere,0,1,0,0
22,Insincere,Insincere,0,1,0,0
23,Insincere,Insincere,0,1,0,0
24,Insincere,Insincere,0,1,0,0
25,Insincere,Insincere,0,1,0,0
26,Insincere,Insincere,0,1,0,0
27,Sincere,Insincere,0,0,0,1
28,Sincere,Insincere,0,0,0,1
29,Insincere,Insincere,0,1,0,0
30,Insincere,Insincere,0,1,0,0
31,Insincere,Insincere,0,1,0,0
32,Sincere,Sincere,1,0,0,0
33,Sincere,Sincere,1,0,0,0
34,Insincere,Insincere,0,1,0,0
35,Sincere,Insincere,0,0,0,1
36,Insincere,Insincere,0,1,0,0
37,Insincere,Insincere,0,1,0,0
38,Sincere,Insincere,0,0,0,1
39,Sincere,Insincere,0,0,0,1
40,Insincere,Insincere,0,1,0,0
41,Insincere,Insincere,0,1,0,0
42,Insincere,Insincere,0,1,0,0
43,Sincere,Insincere,0,0,0,1
44,Insincere,Insincere,0,1,0,0
45,Sincere,Insincere,0,0,0,1
46,Insincere,Insincere,0,1,0,0
47,Sincere,Insincere,0,0,0,1
48,Sincere,Sincere,1,0,0,0
49,Sincere,Sincere,1,0,0,0
50,Sincere,Sincere,1,0,0,0
51,Sincere,Sincere,1,0,0,0
52,Sincere,Sincere,1,0,0,0
53,Sincere,Sincere,1,0,0,0
54,Sincere,Sincere,1,0,0,0
55,Insincere,Insincere,0,1,0,0
56,Insincere,Insincere,0,1,0,0
57,Insincere,Insincere,0,1,0,0
58,Sincere,Sincere,1,0,0,0
59,Insincere,Insincere,0,1,0,0
60,Insincere,Insincere,0,1,0,0
61,Insincere,Insincere,0,1,0,0
62,Insincere,Insincere,0,1,0,0
63,Insincere,Insincere,0,1,0,0
64,Sincere,Insincere,0,0,0,1
65,Insincere,Insincere,0,1,0,0
66,Sincere,Insincere,0,0,0,1
67,Insincere,Insincere,0,1,0,0
68,Insincere,Sincere,0,0,1,0
69,Insincere,Insincere,0,1,0,0
70,Insincere,Insincere,0,1,0,0
71,Sincere,Insincere,0,0,0,1
72,Sincere,Sincere,1,0,0,0
73,Sincere,Sincere,1,0,0,0
74,Sincere,Sincere,1,0,0,0
75,Insincere,Insincere,0,1,0,0
76,Insincere,Sincere,0,0,1,0
77,Sincere,Insincere,0,0,0,1
78,Sincere,Sincere,1,0,0,0
79,Sincere,Sincere,1,0,0,0
80,Insincere,Insincere,0,1,0,0
81,Insincere,Insincere,0,1,0,0
82,Sincere,Sincere,1,0,0,0
83,Insincere,Insincere,0,1,0,0
84,Insincere,Insincere,0,1,0,0
85,Sincere,Sincere,1,0,0,0
86,Sincere,Sincere,1,0,0,0
87,Sincere,Sincere,1,0,0,0
88,Insincere,Insincere,0,1,0,0
89,Sincere,Sincere,1,0,0,0
90,Sincere,Sincere,1,0,0,0
91,Sincere,Sincere,1,0,0,0
92,Insincere,Insincere,0,1,0,0
93,Sincere,Sincere,1,0,0,0
94,Sincere,Sincere,1,0,0,0
95,Sincere,Insincere,0,0,0,1
96,Insincere,Insincere,0,1,0,0
97,Insincere,Insincere,0,1,0,0
98,Sincere,Sincere,1,0,0,0
99,Sincere,Insincere,0,0,0,1
100,Insincere,Insincere,0,1,0,0
101,Insincere,Insincere,0,1,0,0
102,Sincere,Insincere,0,0,0,1
103,Insincere,Insincere,0,1,0,0
104,Insincere,Insincere,0,1,0,0
105,Insincere,Insincere,0,1,0,0
106,Insincere,Insincere,0,1,0,0
107,Sincere,Sincere,1,0,0,0
108,Sincere,Sincere,1,0,0,0
109,Insincere,Insincere,0,1,0,0
110,Insincere,Insincere,0,1,0,0
111,Sincere,Sincere,1,0,0,0
112,Sincere,Sincere,1,0,0,0
113,Sincere,Sincere,1,0,0,0
114,Sincere,Sincere,1,0,0,0
115,Sincere,Sincere,1,0,0,0
116,Sincere,Sincere,1,0,0,0
117,Sincere,Sincere,1,0,0,0
118,Insincere,Insincere,0,1,0,0
119,Insincere,Insincere,0,1,0,0
120,Sincere,Sincere,1,0,0,0
121,Sincere,Sincere,1,0,0,0
122,Sincere,Sincere,1,0,0,0
123,Insincere,Insincere,0,1,0,0
124,Insincere,Insincere,0,1,0,0
125,Sincere,Sincere,1,0,0,0
126,Insincere,Insincere,0,1,0,0
127,Sincere,Sincere,1,0,0,0
128,Sincere,Sincere,1,0,0,0
129,Insincere,Insincere,0,1,0,0
130,Insincere,Insincere,0,1,0,0
131,Insincere,Insincere,0,1,0,0
132,Sincere,Insincere,0,0,0,1
133,Insincere,Insincere,0,1,0,0
134,Sincere,Sincere,1,0,0,0
135,Insincere,Insincere,0,1,0,0
136,Sincere,Sincere,1,0,0,0
137,Sincere,Sincere,1,0,0,0
138,Sincere,Sincere,1,0,0,0
139,Sincere,Sincere,1,0,0,0
140,Insincere,Insincere,0,1,0,0
141,Sincere,Sincere,1,0,0,0
142,Insincere,Insincere,0,1,0,0
143,Sincere,Sincere,1,0,0,0
144,Insincere,Insincere,0,1,0,0
145,Insincere,Insincere,0,1,0,0
146,Insincere,Insincere,0,1,0,0
147,Sincere,Sincere,1,0,0,0
148,Insincere,Insincere,0,1,0,0
149,Insincere,Insincere,0,1,0,0
150,Sincere,Sincere,1,0,0,0
151,Insincere,Sincere,0,0,1,0
152,Sincere,Insincere,0,0,0,1
153,Insincere,Insincere,0,1,0,0
154,Insincere,Insincere,0,1,0,0
155,Sincere,Sincere,1,0,0,0
156,Sincere,Sincere,1,0,0,0
157,Sincere,Insincere,0,0,0,1
158,Sincere,Sincere,1,0,0,0
159,Insincere,Insincere,0,1,0,0
160,Sincere,Insincere,0,0,0,1
161,Insincere,Sincere,0,0,1,0
162,Sincere,Sincere,1,0,0,0
163,Sincere,Sincere,1,0,0,0
164,Sincere,Sincere,1,0,0,0
165,Insincere,Insincere,0,1,0,0
166,Insincere,Insincere,0,1,0,0
167,Insincere,Insincere,0,1,0,0
168,Sincere,Insincere,0,0,0,1
169,Insincere,Insincere,0,1,0,0
170,Insincere,Insincere,0,1,0,0
171,Insincere,Insincere,0,1,0,0
172,Sincere,Sincere,1,0,0,0
173,Sincere,Sincere,1,0,0,0
174,Insincere,Insincere,0,1,0,0
175,Insincere,Insincere,0,1,0,0
176,Sincere,Insincere,0,0,0,1
177,Sincere,Sincere,1,0,0,0
178,Insincere,Insincere,0,1,0,0
179,Sincere,Sincere,1,0,0,0
180,Insincere,Insincere,0,1,0,0
181,Insincere,Insincere,0,1,0,0
182,Insincere,Insincere,0,1,0,0
183,Sincere,Insincere,0,0,0,1
184,Insincere,Insincere,0,1,0,0
185,Sincere,Sincere,1,0,0,0
186,Insincere,Insincere,0,1,0,0
187,Sincere,Insincere,0,0,0,1
188,Insincere,Insincere,0,1,0,0
189,Sincere,Sincere,1,0,0,0
190,Sincere,Sincere,1,0,0,0
191,Insincere,Insincere,0,1,0,0
192,Insincere,Insincere,0,1,0,0
193,Sincere,Insincere,0,0,0,1
194,Insincere,Insincere,0,1,0,0
195,Insincere,Insincere,0,1,0,0
196,Insincere,Insincere,0,1,0,0
197,Sincere,Sincere,1,0,0,0
198,Sincere,Sincere,1,0,0,0
199,Insincere,Insincere,0,1,0,0
200,Sincere,Sincere,1,0,0,0
201,Sincere,Insincere,0,0,0,1
202,Sincere,Sincere,1,0,0,0
203,Sincere,Sincere,1,0,0,0
204,Sincere,Sincere,1,0,0,0
205,Sincere,Sincere,1,0,0,0
206,Insincere,Insincere,0,1,0,0
207,Insincere,Insincere,0,1,0,0
208,Sincere,Insincere,0,0,0,1
209,Sincere,Sincere,1,0,0,0
210,Sincere,Sincere,1,0,0,0
211,Insincere,Sincere,0,0,1,0
212,Sincere,Sincere,1,0,0,0
213,Sincere,Sincere,1,0,0,0
214,Sincere,Sincere,1,0,0,0
215,Sincere,Insincere,0,0,0,1
216,Insincere,Insincere,0,1,0,0
217,Insincere,Insincere,0,1,0,0
218,Insincere,Insincere,0,1,0,0
219,Insincere,Insincere,0,1,0,0
220,Insincere,Insincere,0,1,0,0
221,Sincere,Sincere,1,0,0,0
222,Insincere,Insincere,0,1,0,0
223,Insincere,Insincere,0,1,0,0
224,Sincere,Sincere,1,0,0,0
225,Sincere,Sincere,1,0,0,0
226,Insincere,Insincere,0,1,0,0
227,Sincere,Sincere,1,0,0,0
228,Sincere,Sincere,1,0,0,0
229,Insincere,Insincere,0,1,0,0
230,Insincere,Insincere,0,1,0,0
231,Sincere,Sincere,1,0,0,0
232,Sincere,Sincere,1,0,0,0
233,Sincere,Insincere,0,0,0,1
234,Insincere,Insincere,0,1,0,0
235,Sincere,Sincere,1,0,0,0
236,Insincere,Insincere,0,1,0,0
237,Insincere,Insincere,0,1,0,0
238,Insincere,Insincere,0,1,0,0
239,Sincere,Sincere,1,0,0,0
240,Insincere,Insincere,0,1,0,0
241,Sincere,Sincere,1,0,0,0
242,Sincere,Insincere,0,0,0,1
243,Insincere,Insincere,0,1,0,0
244,Insincere,Insincere,0,1,0,0
245,Sincere,Insincere,0,0,0,1
246,Sincere,Sincere,1,0,0,0
247,Insincere,Insincere,0,1,0,0
248,Insincere,Insincere,0,1,0,0
249,Insincere,Insincere,0,1,0,0
250,Sincere,Sincere,1,0,0,0
251,Insincere,Insincere,0,1,0,0
252,Sincere,Insincere,0,0,0,1
253,Insincere,Insincere,0,1,0,0
254,Insincere,Insincere,0,1,0,0
255,Sincere,Sincere,1,0,0,0
256,Sincere,Sincere,1,0,0,0
257,Insincere,Sincere,0,0,1,0
258,Sincere,Sincere,1,0,0,0
259,Insincere,Insincere,0,1,0,0
260,Sincere,Sincere,1,0,0,0
261,Insincere,Insincere,0,1,0,0
262,Sincere,Insincere,0,0,0,1
263,Insincere,Insincere,0,1,0,0
264,Sincere,Sincere,1,0,0,0
265,Insincere,Insincere,0,1,0,0
266,Sincere,Sincere,1,0,0,0
267,Sincere,Sincere,1,0,0,0
268,Insincere,Insincere,0,1,0,0
269,Sincere,Sincere,1,0,0,0
270,Sincere,Insincere,0,0,0,1
